코드,항목명
    86322,전기제품 제조 기계 조작원
   8633,전자 부품 및 제품 제조 기계 조작원
    86331,전자 부품 제조 기계 조작원
    86332,전자 제품 제조 기계 조작원
  864,전기‧전자 부품 및 제품 조립원
   8640,전기‧전자 부품 및 제품 조립원
    86401,전기 장비 조립원
    86402,영상 및 음향 장비 조립원
    86403,전자 및 정밀 기구 조립원
    86404,가정용 전기 및 전자제품 조립원
    86409,그 외 전기‧전자 부품 및 제품 조립원
 87,운전 및 운송 관련 기계 조작직
  871,철도‧전동차 기관사 및 관련 종사자
,
   8711,철도 및 전동차 기관사
    87111,고속철 기관사
    87112,철도 기관사
    87113,전동차 기관사
    87119,그 외 철도 및 전동차 기관사
   8712,철도운송 관련 종사원
    87120,철도운송 관련 종사원
  872,자동차 운전원
   8721,택시 운전원
    87210,택시 운전원
   8722,버스 운전원
    87221,시내버스 운전원
    87222,시외 및 고속 버스 운전원
    87223,관광버스 운전원
    87229,그 외 버스 운전원
   8723,화물차 및 특수차 운전원
    87231,경‧소형 화물차 운전원
    87232,중형 화물차 운전원
    87233,대형 화물차 운전원
    87239,그 외 화물차 및 특수차 운전원
   8729,기타 자동차 운전원
    87291,승용차 및 승합차 운전원
    87292,렌터카 운전원
    87293,대리 운전원
    87294,대리 주차원
    87295,구급차 운전원
    87299,그 외 자동차 운전원
  873,물품 이동 장비 조작원
   8730,물품 이동 장비 조작원
    87301,크레인 운전원
    87302,리프트 조작원
    87303,호이스트 운전원
    87304,지게차 운전원
    87309,그 외 물품 이동 장비 조작원
  874,건설 및 채굴기계 운전원
   8740,건설 및 채굴기계 운전원
    87401,굴착기‧착암기 및 채광기 조작원
    87402,시추 장비 조작원
    87403,도로정지기 운전원
    87404,항타기 운전원
    87405,도로포장기 및 롤러 운전원
    87406,굴삭기 및 불도저 운전원
    87407,콘크리트 믹서 트럭 운전원
    87408,덤프트럭 운전원
    87409,그 외 건설 및 채굴기계 운전원
  875,선박 승무원 및 관련 종사자
   8750,선박 승무원 및 관련 종사원
    87501,선박부원
    87502,등대원
    87509,그 외 선박 관련 승무원
 88,상하수도 및 재활용 처리 관련 기계 조작직
  881,상하수도 처리 장치 조작원
   8810,상하수도 처리 장치 조작원
    88101,펌프 장치 조작원
    88102,정수 처리 장치 조작원
    88103,하수 처리 장치 조작원
    88109,그 외 상하수도 처리 장치 조작원
  882,재활용 처리 및 소각로 조작원
   8820,재활용 처리 및 소각로 조작원
    88201,재활용 처리 기계 조작원
    88202,소각로 조작원
    88209,그 외 재활용 처리 및 소각로 조작원
 89,목재‧인쇄 및 기타 기계 조작직
  891,목재 및 종이 관련 기계 조작원
   8911,목재 가공 관련 기계 조작원
    89111,제재기 조작원
    89112,목재 처리기 조작원
    89113,합판 생산기 조작원
    89119,그 외 목재 가공 관련 기계 조작원
   8912,펄프 및 종이 제조 장치 조작원
    89121,펄프 제조 장치 조작원
    89122,종이 제조 장치 조작원
   8913,종이제품 생산기 조작원
    89131,종이상자 및 봉투 제조기 조작원
    89132,판지 라이닝기 조작원
    89133,인화지 제조기 조작원
    89134,위생용 종이제품 제조기 조작원
    89139,그 외 종이제품 생산기 조작원
   8919,기타 목재 및 종이 관련 기계 조작원
    89190,그 외 목재 및 종이 관련 기계 조작원
  892,인쇄 및 사진 현상 관련 기계 조작원
   8921,인쇄 관련 기계 조작원
    89210,인쇄 관련 기계 조작원
,
,
,
,
,
,
,
,
   8922,사진 인화 및 현상기 조작원
    89221,사진 인화 및 현상기 조작원
    89229,그 외 사진 인화 및 현상기 조작원
  899,기타 기계 조작원
   8990,기타 기계 조작원
    89901,주입‧포장 및 봉함기 조작원
    89902,상표 부착기 조작원
    89903,케이블 및 배관 부설기 조작원
    89904,공기압축기 조작원
    89905,3D 프린터 조작원
    89909,그 외 기계 조작원
9,단순 노무 종사자
 91,건설 및 광업 관련 단순 노무직
  910,건설 및 광업 단순 종사자
   9100,건설 및 광업 단순 종사원
    91001,건설 단순 종사원
    91002,광업 단순 종사원
 92,운송 관련 단순 노무직
  921,하역‧적재 및 분류 단순 종사자
   9211,하역 및 적재 단순 종사원
    92111,하역 및 적재 관련 단순 종사원
    92112,이삿짐 운반원
    92119,그 외 하역 및 적재 단순 종사원
   9212,화물 분류원
    92120,화물 분류원
  922,배달원
   9221,우편집배원
    92210,우편집배원
   9222,택배원
    92220,택배원
   9223,늘찬배달원
    92230,늘찬배달원
   9224,정기배달원
    92241,식음료 정기배달원
    92242,신문 정기배달원
    92249,그 외 정기배달원
   9229,기타 배달원
    92291,음식점 배달원
,
    92299,그 외 배달원
,
,
 93,제조 관련 단순 노무직
  930,제조 관련 단순 종사자
   9301,가구 조립원
    93010,가구 조립원
   9309,기타 제조 관련 단순 종사원
    93091,수동 포장원
    93092,수동 상표 부착원
    93093,제품 단순 선별원
    93099,그 외 제조 관련 단순 종사원
 94,청소 및 건물 관리 단순 노무직
  941,청소 관련 종사자
   9411,건물 청소원
    94110,건물 청소원
   9412,운송 및 시설장비 청소원
    94121,운송장비 청소원
    94122,시설장비 청소원
   9413,거리 및 공공장소 청소원
    94130,거리 및 공공장소 청소원
   9414,재활용품 및 쓰레기 수거원
    94141,재활용품 수거원
    94142,쓰레기 수거원
   9419,기타 청소 관련 종사원 
,
    94190,그 외 청소 관련 종사원 
,
  942,건물 관리원
   9420,건물 관리원
    94201,아파트 경비원
    94209,그 외 건물 관리원
,
 95,가사‧음식 및 판매 관련 단순 노무직
  951,가사 및 육아 도우미
   9511,가사 도우미
    95110,가사 도우미
   9512,육아 도우미
    95120,육아 도우미
  952,음식 관련 단순 종사자
   9521,패스트푸드 준비원
    95210,패스트푸드 준비원
   9522,주방 보조원
    95220,주방 보조원
  953,판매 관련 단순 종사자
   9531,주유원
    95310,주유원
   9539,기타 판매 관련 단순 종사원
    95391,매장 정리원
    95392,전단지 배포원 및 벽보원
    95399,그 외 판매 관련 단순 종사원
 99,농림어업 및 기타 서비스 단순 노무직
  991,농림어업 관련 단순 종사자
   9911,농업 관련 단순 종사원
    99110,농업 관련 단순 종사원
   9912,임업 관련 단순 종사원
    99121,산불 감시원
    99129,그 외 임업 관련 단순 종사원
   9913,어업 관련 단순 종사원
    99130,어업 관련 단순 종사원
  992,계기‧자판기 및 주차 관리 종사자
   9921,계기 검침원 및 가스 점검원
    99211,계기 검침원
    99212,가스 점검원
   9922,자동판매기 관리원
    99220,자동판매기 관리원
   9923,주차 관리원 및 안내원
    99231,주차 관리원
    99232,주차 안내원
  999,기타 서비스 관련 단순 종사자
   9991,구두 미화원
    99910,구두 미화원
   9992,세탁원 및 다림질원
    99920,세탁원 및 다림질원
   9993,검표원
    99930,검표원
   9994,대여 제품 방문 점검원
    99940,대여 제품 방문 점검원
   9999,기타 서비스 관련 단순 종사원
    99991,환경 감시원
    99992,정리 수납원
    99999,그 외 서비스 관련 단순 종사원
A,군인
 A0,군인
  A01,장교
   A011,영관급 이상 장교
    A0110,영관급 이상 장교
   A012,위관급 장교
    A0120,위관급 장교
  A02,준사관
   A020,준사관
    A0200,준사관
  A03,부사관
   A030,부사관
    A0300,부사관
  A09,기타 군인
   A090,기타 군인
    A0900,그 외 군인
