코드,항목명
   2922,사서 및 기록물 관리사
    29221,사서
    29222,기록물 관리사
  293,연극‧영화 및 영상 전문가
   2931,감독 및 기술 감독
    29311,감독 및 연출가
    29312,기술 감독
    29319,그 외 감독 및 연출가
   2932,배우 및 모델
    29321,배우
    29322,개그맨 및 코미디언
    29323,성우
    29324,모델
    29329,그 외 배우 및 모델
   2933,아나운서 및 리포터
    29331,아나운서
    29332,리포터
    29333,쇼핑호스트
    29339,그 외 아나운서 및 리포터
   2934,촬영기사
    29340,촬영기사
   2935,음향 및 녹음 기사
    29350,음향 및 녹음 기사
   2936,영상‧녹화 및 편집 기사
    29360,영상‧녹화 및 편집 기사
   2937,조명기사 및 영사기사
    29371,조명기사
    29372,영사기사
   2938,미디어 콘텐츠 창작자
    29380,미디어 콘텐츠 창작자
   2939,기타 연극‧영화 및 영상 관련 종사원
    29391,스크립터
    29392,무대의상 관리원
    29393,소품 관리원
    29394,방송 및 영화 연출 보조원
    29395,보조 연기자
    29399,그 외 연극‧영화 및 영상 관련 종사원
  294,시각 및 공연 예술가
   2941,화가 및 조각가
    29411,화가
    29412,조각가
    29413,서예가
   2942,사진기자 및 사진가
    29421,사진작가
    29422,사진기자
    29423,사진가
   2943,만화가 및 만화영화 작가
    29431,만화가
    29432,만화영화 작가
   2944,국악 및 전통 예능인
    29441,국악인
    29442,국악 연주가
    29443,국악 작곡 및 편곡가
    29444,전통 예능인
   2945,지휘자‧작곡가 및 연주가
    29451,지휘자
    29452,작곡가 및 편곡가
    29453,연주가
   2946,가수 및 성악가
    29461,가수
    29462,성악가
   2947,무용가 및 안무가
    29471,무용가
    29472,안무가
   2949,기타 시각 및 공연 예술가
    29491,영상 및 미디어 예술가
    29499,그 외 시각 및 공연 예술가
  295,디자이너
   2951,제품 디자이너
    29511,자동차 디자이너
    29512,가구 디자이너
    29519,그 외 제품 디자이너
   2952,패션 디자이너
    29521,직물 디자이너
    29522,의상 디자이너
    29523,액세서리 디자이너
    29524,가방 및 신발 디자이너
   2953,실내장식 디자이너
    29531,인테리어 디자이너
    29532,디스플레이 디자이너
    29533,무대 및 세트 디자이너
   2954,시각 디자이너
    29541,광고 디자이너
    29542,포장 디자이너
    29543,책 디자이너
    29544,삽화가
    29545,색채 전문가
    29546,활자 디자이너
    29549,그 외 시각 디자이너
   2955,미디어 콘텐츠 디자이너
    29551,웹 디자이너
    29552,멀티미디어 디자이너
    29553,게임 디자이너
    29554,사용자 경험 및 인터페이스 디자이너
    29555,실감형 콘텐츠 디자이너
    29559,그 외 미디어 콘텐츠 디자이너
  296,스포츠 및 레크리에이션 관련 전문가
   2961,스포츠 감독 및 코치
    29611,스포츠 감독
    29612,스포츠 코치
   2962,직업 운동선수
    29620,직업 운동선수
   2963,경기 심판 및 경기 기록원
    29631,경기 심판
    29632,경기 기록원
   2964,스포츠 강사 및 트레이너
    29640,스포츠 강사 및 트레이너
   2969,기타 스포츠 및 레크리에이션 관련 전문가
    29691,레크리에이션 전문가
    29699,그 외 스포츠 및 레크리에이션 관련 전문가
  297,식문화 관련 전문가
   2970,주방장 및 요리 연구가
    29701,주방장
    29702,요리 연구가
    29709,그 외 식문화 관련 전문가
  298,문화‧예술 관련 기획자
   2981,공연 및 시각예술 기획자
    29810,공연 및 시각예술 기획자
   2982,영화 및 음반 기획자
    29820,영화 및 음반 기획자
3,사무 종사자
 31,기획‧영업 및 인사 사무직
  311,기획 및 마케팅 사무원
   3111,경영 기획 사무원
    31110,경영 기획 사무원
   3112,영업 및 마케팅 사무원
    31121,영업 관리 사무원
    31122,광고 및 홍보 사무원
    31123,분양 및 임대 사무원
    31124,판매 사무원
    31129,그 외 영업 및 마케팅 사무원
